0,0 
1,0.142857 
1,0.142857 
1,0.142857 
1,0.142857 
1,0.142857 
1,0.142857 
1,0.142857 
1,0.142857 
1,0.214286 
1,0.214286 
1,0.285714 
1,0.285714 
1,0.285714 
1,0.285714 
1,0.357143 
1,0.357143 
1,0.357143 
1,0.357143 
0.833333,0.357143 
0.714286,0.357143 
0.625,0.357143 
0.454545,0.357143 
0.5,0.428571 
0.5,0.428571 
0.5,0.5 
0.5,0.5 
0.388889,0.5 
0.368421,0.5 
0.363636,0.571429 
0.307692,0.571429 
0.266667,0.571429 
0.25,0.571429 
0.222222,0.571429 
0.2,0.571429 
0.204545,0.642857 
0.18,0.642857 
0.169811,0.642857 
0.155172,0.642857 
0.155172,0.642857 
0.147541,0.642857 
0.15625,0.714286 
0.140845,0.714286 
0.135135,0.714286 
0.125,0.714286 
0.120482,0.714286 
0.111111,0.714286 
0.10101,0.714286 
0.0961538,0.714286 
0.0961538,0.714286 
0.0917431,0.714286 
0,1
