45, 0, 0, 666
50, 0, 0, 666
49, 0, 0, 666
48, 0, 0, 666
47, 0, 0, 666
46, 0, 0, 666
45, 0, 0, 666
44, 0, 0, 666
43, 0, 0, 666
42, 0, 0, 666
41, 0, 0, 666
40, 0, 0, 666
39, 0, 0, 666
38, 0, 0, 666
37, 0, 0, 666
36, 0, 0, 666
35, 0, 0, 666
34, 0, 0, 666
33, 0, 0, 666
32, 0, 0, 666
31, 0, 0, 666
30, 0, 0, 666
29, 0, 0, 666
28, 0, 0, 666
27, 0, 0, 666
26, 0, 0, 666
25, 0, 0, 666
24, 0, 0, 666
23, 0, 0, 666
22, 0, 0, 666
21, 0.047619, 0.0769231, 0.0588235
20, 0.03125, 0.0769231, 0.0444444
19, 0.0243902, 0.0769231, 0.037037
18, 0.0227273, 0.0769231, 0.0350877
17, 0.02, 0.0769231, 0.031746
16, 0.0169492, 0.0769231, 0.0277778
15, 0.0149254, 0.0769231, 0.025
14, 0.0123457, 0.0769231, 0.0212766
13, 0.0104167, 0.0769231, 0.0183486
12, 0.00877193, 0.0769231, 0.015748
11, 0.015873, 0.153846, 0.028777
10, 0.0142857, 0.153846, 0.0261438
9, 0.0134228, 0.153846, 0.0246914
8, 0.0124224, 0.153846, 0.0229885
0,0,1,0
